gj04;1;Our friends won ' t buy this analysis , let alone the next one we propose .
gj04;1;One more pseudo generalization and I ' m giving up .
gj04;1;One more pseudo generalization or I ' m giving up .
gj04;1;The more we study verbs , the crazier they get .
gj04;1;Day by day the facts are getting murkier .
gj04;1;I ' ll fix you a drink .
gj04;1;Fred watered the plants flat .
gj04;1;Bill coughed his way out of the restaurant .
gj04;1;We ' re dancing the night away .
gj04;1;Herman hammered the metal flat .
gj04;1;The critics laughed the play off the stage .
gj04;1;The pond froze solid .
gj04;1;Bill rolled out of the room .
gj04;1;The gardener watered the flowers flat .
gj04;1;The gardener watered the flowers .
gj04;1;Bill broke the bathtub into pieces .
gj04;1;Bill broke the bathtub  .
gj04;1;They drank the pub dry  .
gj04;0;They drank the pub .
gj04;1;The professor talked us into a stupor .
gj04;0;The professor talked us .
gj04;1;We yelled ourselves hoarse .
gj04;0;We yelled ourselves .
gj04;0;We yelled Harry hoarse .
gj04;1;Harry coughed himself into a fit .
gj04;0;Harry coughed himself .
gj04;0;Harry coughed us into a fit .
gj04;1;Bill followed the road into the forest .
gj04;1;We drove Highway 5 from SD to SF .
gj04;1;Fred tracked the leak to its source .
gj04;1;John danced waltzes across the room .
gj04;1;Bill urinated out the window .
gj04;1;Bill coughed out the window .
gj04;1;Bill bled on the floor .
gj04;1;The toilet leaked through the floor into the kitchen below .
gj04;1;Bill ate off the floor .
gj04;1;Bill drank from the hose .
gj04;1;This metal hammers flat easily .
gj04;1;They made him president .
gj04;1;They made him angry .
gj04;0;They caused him to become angry by making him .
gj04;0;They caused him to become president by making him .
gj04;0;They made him to exhaustion .
gj04;1;They made him into a monster .
gj04;1;The trolley rumbled through the tunnel .
gj04;1;The wagon rumbled down the road .
gj04;1;The bullets whistled past the house .
gj04;1;The knee replacement candidate groaned up the stairs .
gj04;0;The car honked down the road .
gj04;0;The dog barked out of the room .
gj04;1;The dog barked its way out of the room .
gj04;1;Bill whistled his way past the house .
gj04;1;The witch vanished into the forest .
gj04;1;Bill disappeared down the road .
gj04;0;The witch went into the forest by vanishing .
gj04;1;The witch went into the forest and thereby vanished .
gj04;1;The building is tall and wide .
gj04;0;The building is tall and tall .
gj04;1;This building is taller and wider than that one .
gj04;1;This building got taller and wider than that one .
gj04;1;This building got taller and taller .
gj04;0;This building is taller and taller .
gj04;0;This building got than that one .
gj04;0;This building is than that one .
gj04;1;Bill floated into the cave .
gj04;0;Bill floated into the cave for hours .
gj04;0;Bill pushed Harry off the sofa for hours .
gj04;1;Bill floated down the river for hours .
gj04;1;Bill floated down the river .
gj04;1;Bill pushed Harry along the trail for hours .
gj04;1;Bill pushed Harry along the trail .
gj04;1;The road zigzagged down the hill .
gj04;1;The rope stretched over the pulley .
gj04;1;The weights stretched the rope over the pulley .
gj04;1;The weights kept the rope stretched over the pulley .
gj04;1;Sam cut himself free .
gj04;1;Sam got free by cutting his finger .
gj04;1;Bill cried himself to sleep .
gj04;0;Bill cried Sue to sleep .
gj04;1;Bill squeezed himself through the hole .
gj04;1;Bill sang himself to sleep .
gj04;1;Bill squeezed the puppet through the hole .
gj04;1;Bill sang Sue to sleep .
gj04;0;The elevator rumbled itself to the ground .
gj04;1;If the telephone rang , it could ring itself silly .
gj04;0;She yelled hoarse .
gj04;0;Ted cried to sleep .
gj04;1;The tiger bled to death .
